#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.base.inference.CompoundDistribution">
#    <distribution id="prior" spec="beast.base.inference.CompoundDistribution">
#        <distribution id="CoalescentConstant.t:aligned1" spec="beast.base.evolution.tree.coalescent.Coalescent">
#            <populationModel id="ConstantPopulation.t:aligned1" spec="beast.base.evolution.tree.coalescent.ConstantPopulation">
#                <parameter id="popSize.t:aligned1" lower="0.0" name="popSize" spec="beast.base.inference.parameter.RealParameter">0.3</parameter>
#            </populationModel>
#            <treeIntervals id="TreeIntervals.t:aligned1" spec="beast.base.evolution.tree.TreeIntervals">
#                <tree id="Tree.t:aligned1" spec="beast.base.evolution.tree.Tree">
#                    <trait id="dateTrait.t:aligned1" spec="beast.base.evolution.tree.TraitSet" traitname="date" value="Japan/SZ-NIG-Y223038/2022=2022,VNM/OUCRU-NHTD3617/2022=2022,KEN/C120125/2022=2022,Switzerland/GE-HUG-40509532/2023=2023,England/QEUH-326BE15A/2023=2023,USA/VI-CDC-2-6875014/2023=2023,Switzerland/BS-UHB-USB_2023_01_30_f6430886/2023=2023,THA/CONI-3921/2022=2022,USA/AK-USAFSAM-S21082/2023=2023,BHR/660304023/2022=2022,USA/UT-CDC-VSX-A079256/2023=2023,NZL/22CH0368/2022=2022,USA/CA-CDC-STM-NBU4XHDMV/2022=2022,THA/CONI-3908/2022=2022,USA/NC-CDC-LC0895050/2022=2022,IRQ/BG-USAFSAM-S20950/2022=2022,CHN/CPL-12-52/2022=2022,USA/LA-CDC-QDX41868225/2022=2022,Japan/SZ-NIG-Y222450/2022=2022,BEL/HT-USAFSAM-S20836/2022=2022,LAO/LOMWRU-0853/2022=2022,KEN/SS11283/2022=2022,England/BRBR-32657988/2022=2022,SYC/SS10817/2022=2022,LAO/LOMWRU-0868/2022=2022,LAO/LOMWRU-0651/2022=2022,THA/CONI-3889/2022=2022,NZL/20CV0055/2020=2020,USA/VA-VTVAS3-GSC23203/2021=2021,Switzerland/BE-SRO-5000138287/2022=2022,Liechtenstein/FL-Risch-0926R13825/2022=2022,TWN/KMUH-33/2022=2022,Liechtenstein/FL-Risch-1219R15476/2022=2022,England/LSPA-325E464E/2022=2022,BHR/390105767/2022=2022,Japan/PG-250552/2022=2022,Switzerland/SG-Risch-1012R14178/2022=2022,USA/MN-CDC-QDX42000672/2022=2022,Liechtenstein/FL-Risch-0923R13838/2022=2022,LBY/59772-19/2022=2022,Switzerland/ZH-ETHZ-38004464/2022=2022,England/MILK-800BDA/2020=2020,England/BRBR-326ECF59/2023=2023,KEN/SS11076/2022=2022,BRA/DF-NXBS126GENOV827515027588/2021=2021,USA/NE-CDC-LC0925904/2022=2022,BHR/721051820/2022=2022,USA/SD-SDAIHG-1949/2022=2022,KEN/SS11118/2022=2022,USA/MD-CDC-QDX43329902/2022=2022">
#                        <taxa id="TaxonSet.aligned1" spec="beast.base.evolution.alignment.TaxonSet">
#                        </taxa>
#                    </trait>
#                    <taxonset idref="TaxonSet.aligned1"/>
#                </tree>
#            </treeIntervals>
#        </distribution>
#        <prior id="ClockPrior.c:aligned1" name="distribution">
#            <parameter id="clockRate.c:aligned1" lower="0.0" name="x" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#            <LogNormal id="LogNormalDistributionModel.8" name="distr">
#                <parameter estimate="false" id="RealParameter.60" name="M" spec="beast.base.inference.parameter.RealParameter">-5.0</parameter>
#                <parameter estimate="false" id="RealParameter.61" lower="0.0" name="S" spec="beast.base.inference.parameter.RealParameter" upper="5.0">1.25</parameter>
#            </LogNormal>
#        </prior>
#        <prior id="FrequenciesPrior.s:aligned1" name="distribution">
#            <parameter dimension="4" id="freqParameter.s:aligned1" lower="0.0" name="x" spec="beast.base.inference.parameter.RealParameter" upper="1.0">0.25</parameter>
#            <Uniform id="Uniform.15" name="distr" upper="Infinity"/>
#        </prior>
#        <prior id="KappaPrior.s:aligned1" name="distribution">
#            <parameter id="kappa.s:aligned1" lower="0.0" name="x" spec="beast.base.inference.parameter.RealParameter">2.0</parameter>
#            <LogNormal id="LogNormalDistributionModel.7" name="distr">
#                <parameter estimate="false" id="RealParameter.57" name="M" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="RealParameter.58" name="S" spec="beast.base.inference.parameter.RealParameter">1.25</parameter>
#            </LogNormal>
#        </prior>
#        <prior id="PopSizePrior.t:aligned1" name="distribution" x="@popSize.t:aligned1">
#            <OneOnX id="OneOnX.5" name="distr"/>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.base.inference.CompoundDistribution" useThreads="true">
#        <distribution data="@aligned1" id="treeLikelihood.aligned1" spec="beast.base.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:aligned1">
#            <siteModel id="SiteModel.s:aligned1" spec="beast.base.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:aligned1" lower="0.0" name="mutationRate" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="gammaShape.s:aligned1" lower="0.1" name="shape" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:aligned1" lower="0.0" name="proportionInvariant" spec="beast.base.inference.parameter.RealParameter" upper="1.0">0.0</parameter>
#                <substModel id="hky.s:aligned1" kappa="@kappa.s:aligned1" spec="beast.base.evolution.substitutionmodel.HKY">
#                    <frequencies frequencies="@freqParameter.s:aligned1" id="estimatedFreqs.s:aligned1" spec="beast.base.evolution.substitutionmodel.Frequencies"/>
#                </substModel>
#            </siteModel>
#            <branchRateModel clock.rate="@clockRate.c:aligned1" id="StrictClock.c:aligned1" spec="beast.base.evolution.branchratemodel.StrictClockModel"/>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	Tree.height	Tree.treeLength	clockRate	kappa	freqParameter.1	freqParameter.2	freqParameter.3	freqParameter.4	popSize	CoalescentConstant
0	-57972.45890705146	-57834.75790482013	-137.7010022313314	-57834.75790482013	3.6977842470726876	15.886670039698155	1.0	2.0	0.25	0.25	0.25	0.25	0.3	-127.89753291716413
1000	-8608.099036247779	-8528.95819365687	-79.14084259090909	-8528.95819365687	3.1369350149962196	16.711227460959886	0.01666399345391357	1.8709627970498668	0.2852636519061524	0.23627207500876365	0.24755003775554665	0.23091423532953728	2.391470765567928	-79.14579494923282
2000	-7466.981684324855	-7346.525670129085	-120.45601419577082	-7346.525670129085	4.2642787393311705	30.088253361522483	0.0029443341244900726	0.8158985716793545	0.3619828898239723	0.15079997737709225	0.1684081856457843	0.31880894715315095	5.152732053965345	-121.88087627039714
3000	-7102.782840539692	-6948.237049941945	-154.54579059774713	-6948.237049941945	5.844805192835533	50.04379650576371	0.0016077850142066665	0.9118301548853792	0.3619828898239723	0.15079997737709225	0.1684081856457843	0.31880894715315095	7.675525516765159	-155.70996700449658
4000	-6856.734047943467	-6700.29991506675	-156.4341328767171	-6700.29991506675	8.872151214244845	60.151633533446045	7.684148567872889E-4	1.33607309214517	0.2825056774518189	0.19567689508042288	0.14310702675758188	0.3787104007101765	11.612788356687767	-156.9093869136785
5000	-6771.482770037289	-6614.155209149045	-157.32756088824445	-6614.155209149045	8.488677357337915	59.47980089924444	7.684148567872889E-4	1.33607309214517	0.2825056774518189	0.19567689508042288	0.14310702675758188	0.3787104007101765	9.63333789754495	-157.98969208037073
6000	-6692.618657033345	-6532.176389353762	-160.44226767958293	-6532.176389353762	10.323777224800772	67.98803592958102	5.426589350442877E-4	2.0909225193322234	0.2539172765948298	0.19039293909121874	0.22214507262714625	0.3335447116868052	9.63333789754495	-160.62170245457818
7000	-6689.135947283326	-6530.385114973424	-158.75083230990168	-6530.385114973424	11.52632623618727	71.02532091116194	5.426589350442877E-4	2.0909225193322234	0.2539172765948298	0.19039293909121874	0.22214507262714625	0.3335447116868052	9.91772121647162	-158.9011736863142
8000	-6668.836003429864	-6514.101492810188	-154.73451061967594	-6514.101492810188	9.868103176208088	64.25594213750189	5.426589350442877E-4	2.0909225193322234	0.2539172765948298	0.19039293909121874	0.22214507262714625	0.3335447116868052	8.717968221478333	-155.01378896626736
9000	-6665.455962195016	-6502.747625904561	-162.70833629045524	-6502.747625904561	12.627461185742398	79.01078356099681	5.426589350442877E-4	2.0909225193322234	0.2539172765948298	0.19039293909121874	0.22214507262714625	0.3335447116868052	10.169938926764878	-162.83356464088635
10000	-6632.764365971905	-6469.179656780758	-163.58470919114762	-6469.179656780758	12.89716468722292	77.54884826839643	5.426589350442877E-4	2.3903900349851774	0.2539172765948298	0.19039293909121874	0.22214507262714625	0.3335447116868052	10.169938926764878	-163.59283116779673
11000	-6615.829718840661	-6445.461395787626	-170.3683230530354	-6445.461395787626	12.206895995195769	82.13408418936638	5.426589350442877E-4	2.3903900349851774	0.2539172765948298	0.19039293909121874	0.22214507262714625	0.3335447116868052	9.388119227885944	-170.45643625655381
12000	-6617.81304913124	-6429.123240491803	-188.689808639438	-6429.123240491803	15.483885670897834	110.87283889152368	3.895935474828688E-4	2.6974054531480487	0.2539172765948298	0.19039293909121874	0.22214507262714625	0.3335447116868052	18.335924752495465	-187.7549377970255
13000	-6579.090166073349	-6398.181714604994	-180.9084514683547	-6398.181714604994	16.638818110273657	109.52872943144712	2.6542605035317034E-4	2.054319117117849	0.2873033487956769	0.18185020539110341	0.22068787149908473	0.31015857431413496	12.518856482428031	-180.239020483002
14000	-6586.988090594746	-6396.263767948319	-190.72432264642708	-6396.263767948319	20.125070753632457	130.7356372126262	2.7169982519650024E-4	2.054319117117849	0.2873033487956769	0.18185020539110341	0.22068787149908473	0.31015857431413496	16.69446274176977	-189.7918698626291
15000	-6580.7382304547	-6386.297386044699	-194.44084441000098	-6386.297386044699	19.4829966185454	134.2643706479822	2.7169982519650024E-4	2.054319117117849	0.2842542955032637	0.18185020539110341	0.22068787149908473	0.3132076276065482	22.313213535367115	-193.21828968008967
16000	-6578.413343551072	-6388.071171260443	-190.34217229062912	-6388.071171260443	21.738795895083566	135.73446959373553	2.7169982519650024E-4	2.054319117117849	0.2842542955032637	0.18185020539110341	0.22068787149908473	0.3132076276065482	19.837347941552398	-189.23723017830147
17000	-6577.140752343469	-6396.503846860171	-180.63690548329834	-6396.503846860171	23.394496441542525	124.20258838114108	2.750523657868271E-4	2.054319117117849	0.2842542955032637	0.18185020539110341	0.22068787149908473	0.3132076276065482	15.412533163114379	-179.7972377918957
18000	-6579.101148035609	-6390.930977669432	-188.17017036617716	-6390.930977669432	20.27533229815806	135.3759842592974	2.59950271694195E-4	2.054319117117849	0.2842542955032637	0.18185020539110341	0.22068787149908473	0.3132076276065482	19.035577123428368	-187.0592241829467
19000	-6579.573840018401	-6394.392456560003	-185.18138345839824	-6394.392456560003	24.022780026072503	140.14215972318343	2.59950271694195E-4	2.054319117117849	0.2842542955032637	0.18185020539110341	0.22068787149908473	0.3132076276065482	14.365553761713578	-184.3519137425498
20000	-6572.251402102996	-6392.852953894618	-179.39844820837814	-6392.852953894618	19.0343140280349	118.58715210070378	3.27350355437234E-4	2.054319117117849	0.2842542955032637	0.18185020539110341	0.22068787149908473	0.3132076276065482	14.409674565848716	-178.79862886355983
21000	-6569.6416302316475	-6382.104715419603	-187.53691481204447	-6382.104715419603	18.17644831428395	120.69970268803478	2.834574814102107E-4	2.1212893008867244	0.3012825676941732	0.17660942100751995	0.1998019474936337	0.32230606380467325	16.90946522410901	-186.6091230717616
22000	-6546.516555287216	-6380.692331448974	-165.82422383824215	-6380.692331448974	14.994794817299956	86.53555382303279	3.2414902749767414E-4	2.1212893008867244	0.3012825676941732	0.17660942100751995	0.1998019474936337	0.32230606380467325	6.974986873521252	-165.91408845199516
