#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.base.inference.CompoundDistribution">
#    <distribution id="prior" spec="beast.base.inference.CompoundDistribution">
#        <distribution id="YuleModel.t:aligned" spec="beast.base.evolution.speciation.YuleModel">
#            <parameter id="birthRate.t:aligned" lower="0.0" name="birthDiffRate" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#            <tree id="Tree.t:aligned" spec="beast.base.evolution.tree.Tree">
#                <trait id="dateTrait.t:aligned" spec="beast.base.evolution.tree.TraitSet" traitname="date">
#                                    Japan/SZ-NIG-Y223038/2022=2022,
#VNM/OUCRU-NHTD3617/2022=2020,
#KEN/C120125/2022=2020,
#Switzerland/GE-HUG-40509532/2023=2021,
#England/QEUH-326BE15A/2023=2021,
#USA/VI-CDC-2-6875014/2023=2022,
#Switzerland/BS-UHB-USB_2023_01_30_f6430886/2023=2022,
#THA/CONI-3921/2022=2022,
#USA/AK-USAFSAM-S21082/2023=2022,
#BHR/660304023/2022=2022,
#USA/UT-CDC-VSX-A079256/2023=2022,
#Canisfamiliaris/NAM/1256/2022=2022,
#NZL/22CH0368/2022=2022,
#USA/CA-CDC-STM-NBU4XHDMV/2022=2022,
#THA/CONI-3908/2022=2022,
#USA/NC-CDC-LC0895050/2022=2022,
#IRQ/BG-USAFSAM-S20950/2022=2022,
#CHN/CPL-12-52/2022=2022,
#USA/LA-CDC-QDX41868225/2022=2022,
#Japan/SZ-NIG-Y222450/2022=2022,
#BEL/HT-USAFSAM-S20836/2022=2022,
#LAO/LOMWRU-0853/2022=2022,
#KEN/SS11283/2022=2022,
#England/BRBR-32657988/2022=2022,
#SYC/SS10817/2022=2022,
#LAO/LOMWRU-0868/2022=2022,
#LAO/LOMWRU-0651/2022=2022,
#THA/CONI-3889/2022=2022,
#NZL/20CV0055/2020=2022,
#USA/VA-VTVAS3-GSC23203/2021=2022,
#OX352506=2022,
#Switzerland/BE-SRO-5000138287/2022=2022,
#Liechtenstein/FL-Risch-0926R13825/2022=2022,
#TWN/KMUH-33/2022=2022,
#Liechtenstein/FL-Risch-1219R15476/2022=2022,
#England/LSPA-325E464E/2022=2022,
#BHR/390105767/2022=2022,
#Japan/PG-250552/2022=2022,
#Switzerland/SG-Risch-1012R14178/2022=2022,
#USA/MN-CDC-QDX42000672/2022=2022,
#Liechtenstein/FL-Risch-0923R13838/2022=2022,
#OX451126=2022,
#LBY/59772-19/2022=2023,
#Switzerland/ZH-ETHZ-38004464/2022=2023,
#England/MILK-800BDA/2020=2023,
#England/BRBR-326ECF59/2023=2023,
#OX450918=2023,
#KEN/SS11076/2022=2023,
#BRA/DF-NXBS126GENOV827515027588/2021=2023,
#USA/NE-CDC-LC0925904/2022=2022                
#                                    <taxa id="TaxonSet.aligned" spec="beast.base.evolution.alignment.TaxonSet">
#                    </taxa>
#                </trait>
#                <taxonset idref="TaxonSet.aligned"/>
#            </tree>
#        </distribution>
#        <prior id="YuleBirthRatePrior.t:aligned" name="distribution" x="@birthRate.t:aligned">
#            <Uniform id="Uniform.1" name="distr" upper="Infinity"/>
#        </prior>
#        <prior id="ClockPrior.c:aligned" name="distribution">
#            <parameter id="clockRate.c:aligned" lower="0.0" name="x" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#            <LogNormal id="LogNormalDistributionModel.3" name="distr">
#                <parameter estimate="false" id="RealParameter.15" name="M" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="RealParameter.16" lower="0.0" name="S" spec="beast.base.inference.parameter.RealParameter" upper="5.0">1.25</parameter>
#            </LogNormal>
#        </prior>
#        <prior id="FrequenciesPrior.s:aligned" name="distribution">
#            <parameter dimension="4" id="freqParameter.s:aligned" lower="0.0" name="x" spec="beast.base.inference.parameter.RealParameter" upper="1.0">0.25</parameter>
#            <distr id="Dirichlet.0" spec="beast.base.inference.distribution.Dirichlet">
#                <parameter dimension="4" estimate="false" id="RealParameter.7" name="alpha" spec="beast.base.inference.parameter.RealParameter">4.0 4.0 4.0 4.0</parameter>
#            </distr>
#        </prior>
#        <prior id="KappaPrior.s:aligned" name="distribution">
#            <parameter id="kappa.s:aligned" lower="0.0" name="x" spec="beast.base.inference.parameter.RealParameter">2.0</parameter>
#            <LogNormal id="LogNormalDistributionModel.1" name="distr">
#                <parameter estimate="false" id="RealParameter.5" name="M" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="RealParameter.6" name="S" spec="beast.base.inference.parameter.RealParameter">1.25</parameter>
#            </LogNormal>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.base.inference.CompoundDistribution" useThreads="true">
#        <distribution data="@aligned" id="treeLikelihood.aligned" spec="beast.base.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:aligned">
#            <siteModel id="SiteModel.s:aligned" spec="beast.base.evolution.sitemodel.SiteModel">
#                <parameter id="mutationRate.s:aligned" lower="0.0" name="mutationRate" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="gammaShape.s:aligned" lower="0.1" name="shape" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:aligned" lower="0.0" name="proportionInvariant" spec="beast.base.inference.parameter.RealParameter" upper="1.0">0.0</parameter>
#                <substModel id="hky.s:aligned" kappa="@kappa.s:aligned" spec="beast.base.evolution.substitutionmodel.HKY">
#                    <frequencies frequencies="@freqParameter.s:aligned" id="estimatedFreqs.s:aligned" spec="beast.base.evolution.substitutionmodel.Frequencies"/>
#                </substModel>
#            </siteModel>
#            <branchRateModel clock.rate="@clockRate.c:aligned" id="StrictClock.c:aligned" spec="beast.base.evolution.branchratemodel.StrictClockModel"/>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	Tree.height	Tree.treeLength	YuleModel	birthRate	freqParameter.1	freqParameter.2	freqParameter.3	freqParameter.4	kappa	mutationRate	clockRate
23000	-6583.022781971777	-6409.681393912929	-173.3413880588482	-6409.681393912929	39.9812939904233	334.2302624679419	-149.78553972299596	0.1268398069482294	0.29193624003216023	0.1814731062308215	0.18874446440624373	0.33784618933077465	2.7807315730703226	1.0	1.0444575690378088E-4
24000	-6596.6299675817245	-6409.177569467093	-187.45239811463125	-6409.177569467093	56.49028816712587	452.04118747374997	-163.2196241647657	0.087351726427609	0.30139573441203493	0.17970002658337586	0.17869824442501148	0.34020599457957784	2.787728716207402	1.0	9.377163631603675E-5
25000	-6576.752736271558	-6402.791741944176	-173.96099432738282	-6402.791741944176	31.83856560781973	333.56470078275487	-150.2968902728211	0.10909921136492313	0.2865483496831658	0.18479887042063436	0.1851777806255223	0.34347499927067754	2.906229690352611	1.0	1.0343120812195736E-4
26000	-6582.857350846936	-6397.655353717228	-185.20199712970836	-6397.655353717228	55.419546800422104	421.3754302875686	-159.86196423110286	0.10833604833047324	0.2868014370475619	0.19843215838300826	0.17881875798737276	0.33594764658205706	3.0676261270271232	1.0	7.688201791881412E-5
27000	-6598.383923558285	-6407.7691435996285	-190.61477995865584	-6407.7691435996285	43.786358480150646	473.23352279172644	-165.91992349743575	0.11377187233620353	0.2872076500552617	0.19231312289013436	0.18761335936161208	0.3328658676929919	3.177451399630459	1.0	8.633173307057833E-5
28000	-6620.380372943474	-6405.4706360668915	-214.9097368765827	-6405.4706360668915	84.66298937339756	753.8493966336498	-186.56157597290044	0.0705528120928636	0.29710319867404256	0.18539358373393344	0.18904950878219157	0.32845370880983243	2.655806094899744	1.0	4.491319461623441E-5
29000	-6616.317143285924	-6412.4999916085835	-203.81715167734106	-6412.4999916085835	79.77747482453393	618.1423570692338	-177.03052927194486	0.06926619373748916	0.3002618898375026	0.19557765630203647	0.17615930557842105	0.32800114828203986	2.719998408960442	1.0	5.8832235891906074E-5
30000	-6588.880421380945	-6419.338945149873	-169.54147623107175	-6419.338945149873	35.195460454866506	309.78025648843203	-146.66318024679825	0.14591235296675328	0.27354313957673604	0.20427387936169908	0.20643647885433605	0.3157465022072288	2.433740280006946	1.0	1.1076413287210397E-4
31000	-6559.757056013932	-6396.430463740843	-163.32659227308923	-6396.430463740843	32.907602961305564	274.4937157279261	-141.7129528910536	0.16670458467523197	0.28517134592887006	0.19859003826209834	0.19219948230629616	0.32403913350273555	3.0455831251070116	1.0	1.4876877804676576E-4
32000	-6554.07272621246	-6403.511127666365	-150.56159854609555	-6403.511127666365	28.358531594585845	201.80271738443662	-129.81391977844513	0.2329447143058202	0.3055729748526651	0.17767206118279555	0.19362765165600038	0.3231273123085389	2.9240388261639514	1.0	1.779554143954748E-4
33000	-6561.882716274692	-6400.834751989598	-161.04796428509454	-6400.834751989598	27.33734412106849	253.75236511405063	-138.84111445848976	0.18868836061487881	0.29152872137541125	0.18676893467664205	0.1824136734793054	0.3392886704686413	2.8314956809912126	1.0	1.3456909306856427E-4
34000	-6588.282626249478	-6403.298484498348	-184.98414175113007	-6403.298484498348	45.01131361869612	428.82894620310975	-160.65215207718057	0.09763999456590834	0.29152872137541125	0.18676893467664205	0.1824136734793054	0.3392886704686413	2.8314956809912126	1.0	9.12401031033146E-5
35000	-6570.693443474821	-6397.285617534598	-173.40782594022323	-6397.285617534598	39.69249826054033	334.6873466005189	-150.11186087253174	0.14157412441212872	0.29152872137541125	0.18676893467664205	0.1824136734793054	0.3392886704686413	2.8314956809912126	1.0	1.1002707201535524E-4
36000	-6569.052430006442	-6403.522944857322	-165.52948514911964	-6403.522944857322	30.724515805865572	283.9721543009994	-143.0691734984832	0.13512108903208372	0.29152872137541125	0.18676893467664205	0.1824136734793054	0.3392886704686413	2.8314956809912126	1.0	1.2835344306748797E-4
37000	-6568.887946859125	-6399.728181216757	-169.15976564236837	-6399.728181216757	32.33396441905009	303.9944148724424	-146.15985697498385	0.12176422496621848	0.29152872137541125	0.18676893467664205	0.1824136734793054	0.3392886704686413	2.8314956809912126	1.0	1.1616225984709224E-4
38000	-6573.617884680088	-6408.821260049074	-164.79662463101374	-6408.821260049074	34.08321513537991	278.29545036422064	-142.5835093945885	0.12875063942121326	0.29152872137541125	0.18676893467664205	0.1824136734793054	0.3392886704686413	2.8314956809912126	1.0	1.344114427507289E-4
39000	-6571.764575140631	-6406.398578205837	-165.3659969347937	-6406.398578205837	33.82040861213993	274.9624769999219	-143.15288169836847	0.11580623293076588	0.29152872137541125	0.18676893467664205	0.1824136734793054	0.3392886704686413	2.8314956809912126	1.0	1.344114427507289E-4
40000	-6568.618132308325	-6402.348440363998	-166.2696919443271	-6402.348440363998	40.9482393121023	287.24783234426053	-143.66573832288435	0.13043196767985168	0.29780060790260054	0.18555180145209374	0.1843935546798062	0.3322540359654994	2.7727222156548894	1.0	1.2416205897910413E-4
41000	-6575.818547897523	-6404.397822559266	-171.42072533825657	-6404.397822559266	34.714820669051335	325.3921986384354	-148.67797844854738	0.1360508396731924	0.29780060790260054	0.18555180145209374	0.1843935546798062	0.3322540359654994	2.7727222156548894	1.0	1.2101394297358138E-4
42000	-6563.195962870063	-6399.692439457628	-163.50352341243556	-6399.692439457628	27.734968518799697	274.1496777785875	-141.50382462773717	0.16019804831322712	0.29780060790260054	0.18555180145209374	0.1843935546798062	0.3322540359654994	2.7727222156548894	1.0	1.3897874306639444E-4
43000	-6561.238443585423	-6399.332120437099	-161.90632314832382	-6399.332120437099	30.17598614864837	261.7132758591752	-139.58656952942454	0.14880116164842863	0.29780060790260054	0.18555180145209374	0.1843935546798062	0.3322540359654994	2.7727222156548894	1.0	1.3089830644247082E-4
44000	-6566.153183986544	-6399.627007396017	-166.52617659052729	-6399.627007396017	31.025149985619592	284.2086681357631	-144.03997864557678	0.18060697812031476	0.28897563163126	0.18783005626420898	0.18692277903077453	0.3362715330737565	2.932044812899227	1.0	1.2771625975933887E-4
