#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.base.inference.CompoundDistribution">
#    <distribution id="prior" spec="beast.base.inference.CompoundDistribution">
#        <distribution id="YuleModel.t:aligned" spec="beast.base.evolution.speciation.YuleModel">
#            <parameter id="birthRate.t:aligned" lower="0.0" name="birthDiffRate" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#            <tree id="Tree.t:aligned" spec="beast.base.evolution.tree.Tree">
#                <trait id="dateTrait.t:aligned" spec="beast.base.evolution.tree.TraitSet" traitname="date">
#                                    Japan/SZ-NIG-Y223038/2022=2022,
#VNM/OUCRU-NHTD3617/2022=2022,
#KEN/C120125/2022=2022,
#Switzerland/GE-HUG-40509532/2023=2023,
#England/QEUH-326BE15A/2023=2023,
#USA/VI-CDC-2-6875014/2023=2023,
#Switzerland/BS-UHB-USB_2023_01_30_f6430886/2023=2023,
#THA/CONI-3921/2022=2022,
#USA/AK-USAFSAM-S21082/2023=2023,
#BHR/660304023/2022=2022,
#USA/UT-CDC-VSX-A079256/2023=2023,
#Canisfamiliaris/NAM/1256/2022=2022,
#NZL/22CH0368/2022=2022,
#USA/CA-CDC-STM-NBU4XHDMV/2022=2022,
#THA/CONI-3908/2022=2022,
#USA/NC-CDC-LC0895050/2022=2022,
#IRQ/BG-USAFSAM-S20950/2022=2022,
#CHN/CPL-12-52/2022=2022,
#USA/LA-CDC-QDX41868225/2022=2022,
#Japan/SZ-NIG-Y222450/2022=2022,
#BEL/HT-USAFSAM-S20836/2022=2022,
#LAO/LOMWRU-0853/2022=2022,
#KEN/SS11283/2022=2022,
#England/BRBR-32657988/2022=2022,
#SYC/SS10817/2022=2022,
#LAO/LOMWRU-0868/2022=2022,
#LAO/LOMWRU-0651/2022=2022,
#THA/CONI-3889/2022=2022,
#NZL/20CV0055/2020=2020,
#USA/VA-VTVAS3-GSC23203/2021=2021,
#OX352506=2506,
#Switzerland/BE-SRO-5000138287/2022=2022,
#Liechtenstein/FL-Risch-0926R13825/2022=2022,
#TWN/KMUH-33/2022=2022,
#Liechtenstein/FL-Risch-1219R15476/2022=2022,
#England/LSPA-325E464E/2022=2022,
#BHR/390105767/2022=2022,
#Japan/PG-250552/2022=2022,
#Switzerland/SG-Risch-1012R14178/2022=2022,
#USA/MN-CDC-QDX42000672/2022=2022,
#Liechtenstein/FL-Risch-0923R13838/2022=2022,
#OX451126=2022,
#LBY/59772-19/2022=2022,
#Switzerland/ZH-ETHZ-38004464/2022=2022,
#England/MILK-800BDA/2020=2020,
#England/BRBR-326ECF59/2023=2023,
#OX450918=2022,
#KEN/SS11076/2022=2022,
#BRA/DF-NXBS126GENOV827515027588/2021=2021,
#USA/NE-CDC-LC0925904/2022=2022                
#                                    <taxa id="TaxonSet.aligned supershort 100" spec="beast.base.evolution.alignment.TaxonSet">
#                    </taxa>
#                </trait>
#                <taxonset idref="TaxonSet.aligned supershort 100"/>
#            </tree>
#        </distribution>
#        <prior id="YuleBirthRatePrior.t:aligned" name="distribution" x="@birthRate.t:aligned">
#            <Uniform id="Uniform.1" name="distr" upper="Infinity"/>
#        </prior>
#        <prior id="ClockPrior.c:aligned" name="distribution">
#            <parameter id="clockRate.c:aligned" lower="0.0" name="x" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#            <Uniform id="Uniform.0" name="distr" upper="Infinity"/>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.base.inference.CompoundDistribution" useThreads="true">
#        <distribution data="@aligned supershort 100" id="treeLikelihood.aligned supershort 100" spec="beast.base.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:aligned">
#            <siteModel id="SiteModel.s:aligned" spec="beast.base.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:aligned" lower="0.0" name="mutationRate" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="gammaShape.s:aligned" lower="0.1" name="shape" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:aligned" lower="0.0" name="proportionInvariant" spec="beast.base.inference.parameter.RealParameter" upper="1.0">0.0</parameter>
#                <substModel id="JC69.s:aligned" spec="beast.base.evolution.substitutionmodel.JukesCantor"/>
#            </siteModel>
#            <branchRateModel clock.rate="@clockRate.c:aligned" id="StrictClock.c:aligned" spec="beast.base.evolution.branchratemodel.StrictClockModel"/>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	Tree.height	Tree.treeLength	YuleModel	birthRate	clockRate
26000	-7144.478525993853	-6646.9073783211015	-497.5711476727514	-6646.9073783211015	47072.23725520854	432283.06023366924	-497.5711476727514	1.2790226574385444E-4	9.552905115120506E-8
27000	-7152.100234235911	-6634.871440393567	-517.2287938423431	-6634.871440393567	82801.22767938644	666419.6809355677	-517.2287938423431	6.57582608221946E-5	5.6192809765796354E-8
28000	-7177.5369465270805	-6633.885131960477	-543.6518145666034	-6633.885131960477	130092.7031389262	1159545.1996303808	-543.6518145666034	4.468581970319229E-5	3.212775544486117E-8
29000	-7162.409690217196	-6635.284913120623	-527.1247770965725	-6635.284913120623	94087.31289817106	818282.2281386433	-527.1247770965725	5.208189171247913E-5	4.724921888177088E-8
30000	-7187.213073715776	-6632.708417041332	-554.5046566744444	-6632.708417041332	144002.02442891742	1440721.295470861	-554.5046566744444	3.873567713695883E-5	2.928684711201573E-8
31000	-7159.471727032361	-6628.057408371698	-531.4143186606628	-6628.057408371698	116529.82541273216	899521.0910765842	-531.4143186606628	5.5901252278380294E-5	4.166781839083872E-8
32000	-7158.327310733211	-6627.744227733924	-530.5830829992861	-6627.744227733924	108590.72057265695	884961.2076485745	-530.5830829992861	5.2609341917140926E-5	4.2618985709429055E-8
33000	-7142.26182659707	-6628.481915475777	-513.7799111212929	-6628.481915475777	80848.15712730435	616493.8731359185	-513.7799111212929	6.749945006522248E-5	5.462032104755996E-8
34000	-264522.5034721428	-264012.8296034775	-509.67386866530916	-264012.8296034775	59321.266556180766	566183.3148248873	-509.67386866530916	7.45653916639173E-5	Infinity
35000	-264499.1684813056	-264012.8296034775	-486.3388778281108	-264012.8296034775	28257.97159135229	338248.99148764124	-486.3388778281108	1.625485187989517E-4	Infinity
36000	-264521.52214376704	-264012.8296034775	-508.69254028955555	-264012.8296034775	47247.54898100706	557563.2487193785	-508.69254028955555	8.2195910327168E-5	Infinity
37000	-264543.330631886	-264012.8296034775	-530.5010284085065	-264012.8296034775	89363.29908893861	875697.7394961449	-530.5010284085065	6.206398388018555E-5	Infinity
38000	-264546.7389034763	-264012.8296034775	-533.9092999987637	-264012.8296034775	73655.57287100978	891758.4142188533	-533.9092999987637	7.440545665927737E-5	Infinity
39000	-264532.4252017227	-264012.8296034775	-519.5955982452319	-264012.8296034775	44289.41292670336	698870.7544663837	-519.5955982452319	7.49792788878884E-5	Infinity
40000	-264539.5411410708	-264012.8296034775	-526.711537593284	-264012.8296034775	48752.62436275194	777251.8631579202	-526.711537593284	8.200727804420049E-5	Infinity
41000	-264532.0903804339	-264012.8296034775	-519.260776956401	-264012.8296034775	54812.370905170705	693935.3428970124	-519.260776956401	7.550959284304889E-5	Infinity
42000	-264499.75552738097	-264012.8296034775	-486.9259239034543	-264012.8296034775	23803.228159167982	349019.06980467256	-486.9259239034543	1.2749874555312098E-4	Infinity
43000	-264565.69449205225	-264012.8296034775	-552.8648885747587	-264012.8296034775	115121.07073632548	1407941.6716852372	-552.8648885747587	3.322718290365501E-5	Infinity
44000	-264552.056981642	-264012.8296034775	-539.2273781644806	-264012.8296034775	59357.66660697667	1056269.0908547381	-539.2273781644806	4.1431192712360674E-5	Infinity
45000	-264528.811905381	-264012.8296034775	-515.9823019034758	-264012.8296034775	62067.31554536085	650691.2416196484	-515.9823019034758	7.493915756284009E-5	Infinity
46000	-264520.6706418521	-264012.8296034775	-507.84103837455183	-264012.8296034775	36585.82593289272	543043.7533786212	-507.84103837455183	9.803096541505573E-5	Infinity
47000	-264560.6908774887	-264012.8296034775	-547.8612740111954	-264012.8296034775	125345.20448527638	1268306.9618129297	-547.8612740111954	3.9596589022394714E-5	Infinity
48000	-264538.7926132584	-264012.8296034775	-525.9630097808927	-264012.8296034775	61832.29117855095	796824.8238857808	-525.9630097808927	5.246025526140316E-5	Infinity
49000	-264580.78457323473	-264012.8296034775	-567.954969757215	-264012.8296034775	133508.329958649	1921942.2207871235	-567.954969757215	2.66486524410596E-5	Infinity
50000	-264560.1767668283	-264012.8296034775	-547.3471633507874	-264012.8296034775	82348.11889539487	1220810.1761466777	-547.3471633507874	3.078848973192606E-5	Infinity
51000	-264579.8888711742	-264012.8296034775	-567.0592676966987	-264012.8296034775	175517.70962673918	1888301.110845202	-567.0592676966987	2.4622423610485027E-5	Infinity
52000	-264525.02095766243	-264012.8296034775	-512.1913541849103	-264012.8296034775	38440.69247643504	590704.5308399834	-512.1913541849103	9.501468637312882E-5	Infinity
53000	-264544.8449660059	-264012.8296034775	-532.0153625283631	-264012.8296034775	62005.2918474369	908686.1452468704	-532.0153625283631	4.812700664895075E-5	Infinity
